created_at;;full_text;lang;username
Mon May 13 10:51:45 +0000 2024;;https://t.co/YHk6t07ffQ Ya ya ya gambar yang lumayan. Tapi itu tidak cukup untuk memungkiri fakta bahwa habitat satwa endemik terus terancam rusak dan seutuhnya hilang dirampas pembangunan IKN salah satunya. Saya bantu ingatkan apa kata menteri kalian: https://t.co/g8OvlnR9uc;in;kendarabadai
Mon May 13 10:48:53 +0000 2024;;Anggota Dewanpun baru mau tinggal di IKN klo infrastruktur prasarana dn smua fasilitas udah lngkap semua.Pdhal nunggu lngkap itu baru bisa di th 2045..( Alasan aj padune ora gelem pindah);in;chenoa2104
Mon May 13 10:48:48 +0000 2024;;@dinulfadli_ @MafiaWasit @KemenPU Ikn apa buat program makan siang gretong atau buat rumah menteri yg di ikn yg masih di komenin krn blm kliatan wah?;in;DeeCow2
Mon May 13 10:48:30 +0000 2024;;Liat ini para buzzer ikn tll;in;Nadd_yas
Mon May 13 10:48:16 +0000 2024;;@jellypastaa Kalo emang beneran gunung di Malaysia gaada yg diledakin. Gaada tanah longsor krn penebangan liar. Gaada pejabat korup krn yg korup pemegang proyek IKN tersesat di alam Jin. UPS Jin emang ada tapi tdk se-hiperbola itu. Orang dulu kan gabut ja;in;Afrizal_T_F
Mon May 13 10:47:37 +0000 2024;;@detikcom lho katanya rakyat ga makan infrastruktur giliran ada kasus gini nyalahin IKN;in;psychicmew2
Mon May 13 10:47:05 +0000 2024;;@BegawanBima Keluarga saya sangat suka mkn ikan walaupun kandang hanya bisa beli ikan pindang tapi hampir tiap hari diusahakan bisa mkn ikn Yahh hmm tapi kadang ngga ke beli juga ‍️‍️;in;BungaNdaru
Mon May 13 10:45:53 +0000 2024;;@Budiady5 @gibran_tweet aja tugas di IKN daripada ga berguna di ISTANA;in;AtokSsk
Mon May 13 10:44:38 +0000 2024;;@DokterTifa Biar IKN yang nempati para oposisi;in;ariflukman2268
Mon May 13 10:44:16 +0000 2024;;Menurut gw kurang-kurangin deh berita kayak gini.. secara g langsung kalian nyakitin perasaan 58 48% masyarakat indo yg memperjuangkan kemajuan pembangunan IKN utk elit negara dibandingkan pembangunan infrastuktur mikro untuk masyarakat ekonomi menengah ke bawah : (;in;preittylie
Mon May 13 10:42:46 +0000 2024;;@AkunGratisan urusan IKN apa yang sudah menyusahkanmu arka;in;itsrancchi
Mon May 13 10:42:39 +0000 2024;;@hildarahayu923 @jokowi Jangan berharap pd Rezim. Ngurus makan siang gratis saja sulit. Sekarang Mukijo sdg gundah mikir IKN mikir cawe2 anaknya mau ikut Pilkada mikir cawe2 Makan Siang gratis pusing dia. Kalau sdg stress perginya ke Pasar mana berani ke ;in;DjoyoD_joyo789
Mon May 13 10:41:11 +0000 2024;;@hasanudinsajid @geloraco @prabowo Uu ikn..kalau tdk dilanjutkan cabut dulu uu ikn di dpr atau perpu ikn..rasanya tdk mungkin. Ttp biaya ikn bisa di kurangi dulu di apbn utk pos makan gratis. Ikn bukan hanya pakai apbn ttp juga dari suasta;in;nalarto
